Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
199,22.95,23.083,-1.5107923911835633e+18,0.006777050815752556,0.007265594222266372,over range,,
200,23.058,23.062,-4.5437536003804376e+16,0.011369016274964066,0.009573520384994481,over range,,
201,22.972,23.057,-9.655485046702378e+17,0.016158673131275086,0.011703342921016883,over range,,
202,22.851,23.303,-5.13422031074347e+18,0.020236790696369106,0.013885112348161784,over range,,
203,23.04,23.046,-6.815649931489498e+16,0.02499640997860927,0.016007513899738115,over range,,
204,23.05,23.171,-1.3744586527655747e+18,0.0276197247469096,0.01787760198014803,over range,,
205,23.017,23.031,-1.5903225905774342e+17,0.030143430875284722,0.01974026907611187,over range,,
206,23.023,23.171,-1.681156038093445e+18,0.03310771052196482,0.02130609679423287,over range,,
207,22.948,23.453,-5.736088240552558e+18,0.03565655488892996,0.023079712076843863,over range,,
208,22.945,23.164,-2.4876596842329646e+18,0.03770986222570822,0.024675223732749146,over range,,
209,23.037,23.031,6.8156682453324376e+16,0.03987416164511718,0.02614457865307122,over range,,
210,23.097,23.103,-6.815580370694886e+16,0.041690153355017405,0.027554565697824728,over range,,
211,22.98,23.189,-2.3740573042442675e+18,0.043795353173781776,0.02900165766480859,over range,,
212,22.947,22.972,-2.8398917973494768e+17,0.04548298242782402,0.03022612009841032,over range,,
213,22.986,23.295,-3.509903411860898e+18,0.047312985811242596,0.03155447631425704,over range,,
214,22.941,23.216,-3.12374453336408e+18,0.04804971553311881,0.032430152478893436,over range,,
215,22.843,22.943,-1.1359626261401897e+18,0.050073933569854095,0.033439406363559104,over range,,
216,22.993,23.136,-1.6243703956635622e+18,0.051280673344764015,0.03450802812379334,over range,,
217,23.068,23.019,5.5661410341171885e+17,0.0521929138422604,0.03549501905512079,over range,,
218,23.009,23.193,-2.0900776630360548e+18,0.05351877696725558,0.03633359029752683,over range,,
219,23.072,23.066,6.815625518458488e+16,0.05542974521013726,0.037105372679918217,over range,,
220,22.943,23.164,-2.5103780375136184e+18,0.05691020441512338,0.038255625269059235,over range,,
221,22.902,23.25,-3.952932701386615e+18,0.058377121350964276,0.039049670604788846,over range,,
222,22.823,23.216,-4.4641149149530035e+18,0.05990362429153928,0.03985855790941059,over range,,
223,22.862,23.143,-3.1919406261853245e+18,0.06099143008969573,0.04076391801183127,over range,,
224,22.869,23.298,-4.872970087708314e+18,0.06239318373529116,0.04156538433200694,over range,,
225,22.888,23.095,-2.351378595048586e+18,0.06397816559347377,0.04235942966773655,over range,,
